Tabela: Teams for 2026
Country,P,W,D,L,GF,GA,GD,Last 5,PPG,xG,xGA,BTTS%,CS%,Corners,Cards,AVG
Germany,10,9,0,1,28,8,20,WWWWW,2.70,2.12,0.81,40%,50%,10.4,13,3.6
Austria,10,8,1,1,27,4,23,WDWWW,2.50,1.54,0.93,30%,60%,7.7,20,3.1
France,10,8,1,1,25,9,16,WWWLW,2.50,2.23,0.75,70%,30%,8.5,16,3.4
Turkey,10,8,1,1,25,13,12,DWWWW,2.50,1.57,1.3,50%,40%,11.5,23,3.8
Argentina,10,8,1,1,25,3,22,WWWWW,2.50,1.74,0.75,20%,70%,7.3,18,2.8
Spain,10,7,3,0,28,4,24,DWDDW,2.40,2.36,0.64,30%,70%,9.4,6,3.2
Belgium,10,7,3,0,37,6,31,WWDWW,2.40,2.45,0.73,40%,60%,11.8,11,4.3
Japan,10,7,2,1,14,6,8,WWWWW,2.30,1.37,1.14,20%,70%,7.6,13,2
Algeria,10,7,2,1,19,4,15,WLWDW,2.30,1.37,1.05,20%,70%,9.1,18,2.3
Senegal,10,7,2,1,17,6,11,WWWLD,2.30,1.59,1.12,40%,60%,10.2,23,2.3
England,10,7,1,2,22,5,17,WWDLW,2.20,2.02,0.7,20%,70%,9.4,10,2.7
Croatia,10,7,1,2,19,10,9,WWLLW,2.20,2.02,1,50%,40%,10.9,13,2.9
Ivory Coast,10,7,1,2,19,8,11,WLWWW,2.20,1.39,0.91,40%,50%,9.2,8,2.7
Colombia,10,7,1,2,25,10,15,WLLWW,2.20,1.56,1.04,50%,50%,7.4,7,3.5
Portugal,10,6,3,1,26,10,16,LWDWW,2.10,2.28,1.03,50%,40%,8.6,17,3.6
Norway,10,6,3,1,31,8,23,WLDWD,2.10,1.82,0.98,70%,30%,8.2,6,3.9
Netherlands,10,6,3,1,22,8,14,WWDLW,2.10,1.7,0.87,60%,30%,8.9,8,3
Mexico,10,6,3,1,16,4,12,DDWWW,2.10,1.38,0.82,30%,70%,7.78,21,2
Morocco,10,6,3,1,19,4,15,DWWWD,2.10,1.63,0.8,30%,60%,8.77,13,2.3
Congo DR,10,6,3,1,12,3,9,WLWWD,2.10,1.4,1.13,20%,70%,7.75,6,1.5
Czech Republic,10,5,4,1,20,9,11,WDDWW,1.90,1.57,1.16,60%,40%,9.22,9,2.9
Switzerland,10,5,4,1,22,8,14,DLDWD,1.90,1.43,1,50%,50%,8,7,3
Scotland,10,6,1,3,21,10,11,WLLWW,1.90,1.48,1.52,50%,30%,10.9,15,3.1
South Korea,10,6,1,3,15,12,3,WLLWW,1.90,1.21,1.11,10%,60%,8.4,13,2.7
Brazil,10,6,1,3,25,11,14,DLWWW,1.90,1.7,1.18,60%,30%,7.3,13,3.6
Cape Verde,10,5,4,1,19,9,10,DLDWW,1.90,1.46,0.95,40%,60%,8.89,15,2.8
Ecuador,10,4,6,0,12,5,7,WDDWW,1.80,1.32,0.91,50%,50%,8.1,21,1.7
Egypt,10,5,3,2,13,6,7,DWDLW,1.80,0.92,1.5,30%,60%,8.5,18,1.9
Jordan,10,5,2,3,17,15,2,LDDLL,1.70,1.34,1.38,60%,30%,9.9,10,3.2
Iraq,10,5,2,3,11,10,1,LWWDL,1.70,0.97,1.4,50%,20%,9.3,18,2.1
Uzbekistan,10,5,2,3,14,7,7,DWDLL,1.70,1.2,1.35,30%,60%,8.6,7,2.1
Canada,10,4,5,1,9,4,5,WDDWD,1.70,1.33,0.68,20%,70%,9.3,31,1.3
Australia,10,5,1,4,13,10,3,LWWLD,1.60,0.88,1.27,40%,30%,6.5,10,2.3
Uruguay,10,4,4,2,10,9,1,WDLDD,1.60,1.14,1.11,30%,60%,9.33,20,1.9
USA,10,5,1,4,18,17,1,LLWWL,1.60,1.49,1.12,70%,10%,10.5,15,3.5
Panama,10,4,4,2,18,16,2,DWLWD,1.60,1.56,1.51,80%,10%,8.6,16,3.4
Bosnia And Herzegovina,10,3,6,1,20,10,10,DDDDD,1.50,1.79,1.09,80%,20%,8.6,25,3
Iran,10,4,3,3,17,8,9,DDLWW,1.50,1.4,0.84,40%,50%,7.88,8,2.5
South Africa,10,4,3,3,14,10,4,WLDLD,1.50,1.77,0.73,60%,30%,8.8,21,2.4
Haiti,10,4,3,3,15,10,5,WLDWL,1.50,1.29,1.52,30%,50%,9.5,18,2.5
Curaçao,10,4,3,3,19,14,5,DLLLW,1.50,1.25,1.56,40%,50%,7.89,11,3.3
Paraguay,10,4,2,4,12,10,2,LWWLW,1.40,1.21,1.09,40%,40%,8.9,20,2.2
Tunisia,10,3,4,3,13,14,-1,DWDLL,1.30,1.19,1.42,50%,30%,10.1,18,2.7
Saudi Arabia,10,3,2,5,10,12,-2,LLLWD,1.10,1.05,1.23,40%,30%,7.4,14,2.2
Ghana,10,3,2,5,11,14,-3,LLLLD,1.10,1.03,1.3,40%,30%,8.7,16,2.5
Sweden,10,2,3,5,13,20,-7,DWWLD,0.90,1.21,1.52,70%,0%,9.1,16,3.3
Qatar,10,1,4,5,7,15,-8,LDLLD,0.70,1.15,1.25,50%,20%,8.7,11,2.2
New Zealand,10,1,1,8,7,18,-11,LLWLL,0.40,1.13,1.75,40%,0%,9.6,10,2.5

Tabela: Over 2.5 Goals (0.5, 1.5, 3.5)
Country,2.5+,1.5+,3.5+,AVG
France,90%,100%,50%,3.4
Colombia,80%,90%,40%,3.5
Spain,70%,90%,50%,3.2
Germany,70%,90%,50%,3.6
Croatia,70%,80%,40%,2.9
Turkey,70%,80%,60%,3.8
Jordan,70%,80%,50%,3.2
Brazil,70%,90%,40%,3.6
Czech Republic,60%,80%,40%,2.9
Portugal,60%,80%,50%,3.6
Norway,60%,80%,50%,3.9
Sweden,60%,90%,60%,3.3
Belgium,60%,90%,60%,4.3
Netherlands,60%,90%,40%,3
Scotland,60%,70%,50%,3.1
Saudi Arabia,60%,60%,20%,2.2
Iran,60%,70%,30%,2.5
USA,60%,100%,30%,3.5
South Africa,60%,70%,20%,2.4
Switzerland,50%,80%,40%,3
Bosnia And Herzegovina,50%,90%,40%,3
Qatar,50%,60%,20%,2.2
Ivory Coast,50%,70%,30%,2.7
Argentina,50%,80%,20%,2.8
Haiti,50%,70%,20%,2.5
Curaçao,50%,80%,50%,3.3
Paraguay,50%,60%,20%,2.2
Tunisia,50%,70%,40%,2.7
Panama,50%,90%,30%,3.4
Cape Verde,50%,80%,20%,2.8
Austria,40%,60%,30%,3.1
England,40%,80%,30%,2.7
Australia,40%,50%,20%,2.3
Uzbekistan,40%,70%,20%,2.1
South Korea,40%,70%,40%,2.7
Senegal,40%,60%,30%,2.3
Morocco,40%,70%,20%,2.3
Egypt,40%,40%,30%,1.9
New Zealand,40%,70%,30%,2.5
Japan,30%,50%,20%,2
Iraq,30%,80%,0%,2.1
Uruguay,30%,60%,10%,1.9
Ghana,30%,70%,20%,2.5
Mexico,30%,50%,20%,2
Algeria,30%,60%,20%,2.3
Ecuador,20%,70%,0%,1.7
Canada,10%,40%,10%,1.3
Congo DR,10%,50%,0%,1.5

Tabela: Half Time Goals
Country,0.5+,1.5+,2.5+,HT AVG
Spain,90%,70%,30%,1.7
Switzerland,60%,50%,40%,1.4
Czech Republic,80%,40%,20%,1.3
Portugal,70%,60%,40%,1.3
Norway,80%,40%,30%,1.3
Germany,90%,50%,20%,1.3
Austria,50%,20%,20%,1.2
England,80%,40%,20%,1.2
Argentina,100%,30%,10%,1.2
Brazil,100%,60%,10%,1.2
Belgium,90%,40%,20%,1.1
Netherlands,90%,40%,20%,1.1
France,90%,30%,10%,1.1
Turkey,80%,70%,20%,1.1
USA,100%,70%,20%,1.1
Panama,80%,50%,10%,1
Ivory Coast,80%,50%,20%,0.9
Algeria,50%,20%,20%,0.9
Colombia,80%,40%,30%,0.9
Scotland,70%,20%,10%,0.8
Curaçao,67%,33%,11%,0.78
Croatia,80%,30%,20%,0.7
Iran,60%,20%,10%,0.7
Mexico,50%,20%,10%,0.7
Senegal,60%,20%,20%,0.7
Haiti,80%,40%,10%,0.7
Egypt,40%,30%,20%,0.7
Cape Verde,70%,20%,20%,0.7
Bosnia And Herzegovina,70%,20%,10%,0.6
Jordan,80%,30%,20%,0.6
Iraq,80%,40%,0%,0.6
Ecuador,60%,20%,0%,0.6
Morocco,40%,20%,0%,0.6
Tunisia,70%,10%,0%,0.6
Congo DR,50%,20%,0%,0.6
Uzbekistan,44%,22%,0%,0.56
Sweden,80%,40%,20%,0.5
Japan,70%,20%,0%,0.5
South Korea,60%,40%,0%,0.5
South Africa,70%,30%,0%,0.5
Paraguay,50%,30%,0%,0.4
Australia,60%,10%,0%,0.3
Saudi Arabia,60%,10%,10%,0.3
Uruguay,40%,10%,10%,0.3
Canada,40%,10%,0%,0.3
New Zealand,70%,10%,0%,0.3
Qatar,50%,20%,10%,0.2
Ghana,60%,0%,0%,0.2

Tabela: Total Corners Per Game
Country,AVG,7.5+,8.5+,9.5+,10.5+,11.5+,12.5+,13.5+
Belgium,11.8,80%,80%,80%,70%,60%,40%,40%
Turkey,11.5,90%,80%,70%,70%,70%,50%,30%
Croatia,10.9,70%,60%,60%,40%,40%,30%,20%
Scotland,10.9,90%,80%,70%,60%,40%,30%,20%
USA,10.5,90%,90%,70%,60%,50%,10%,0%
Germany,10.4,90%,70%,60%,50%,40%,30%,0%
Senegal,10.2,70%,60%,60%,60%,30%,20%,10%
Tunisia,10.1,80%,70%,70%,30%,30%,30%,30%
Jordan,9.9,80%,70%,60%,40%,30%,20%,20%
New Zealand,9.6,80%,80%,40%,40%,20%,20%,10%
Haiti,9.5,70%,60%,50%,40%,40%,40%,20%
Spain,9.4,80%,70%,60%,30%,10%,0%,0%
England,9.4,90%,60%,50%,30%,10%,0%,0%
Uruguay,9.33,67%,56%,56%,56%,22%,0%,0%
Iraq,9.3,40%,30%,30%,30%,30%,30%,30%
Canada,9.3,60%,60%,40%,20%,20%,20%,20%
Czech Republic,9.22,56%,44%,44%,44%,33%,22%,11%
Ivory Coast,9.2,70%,70%,70%,30%,30%,0%,0%
Algeria,9.1,70%,60%,40%,30%,20%,0%,0%
Sweden,9.1,50%,50%,50%,50%,40%,20%,0%
Netherlands,8.9,70%,50%,40%,30%,20%,10%,0%
Paraguay,8.9,50%,50%,40%,40%,40%,40%,20%
Cape Verde,8.89,78%,56%,33%,22%,11%,11%,11%
South Africa,8.8,60%,50%,40%,30%,10%,10%,10%
Morocco,8.77,44%,44%,44%,44%,33%,33%,22%
Qatar,8.7,60%,60%,40%,30%,20%,10%,10%
Ghana,8.7,60%,40%,30%,30%,20%,10%,0%
