Confederacao,Selecao,Formacao,Jogador,Posicao,Sub_Funcao_Tatica
UEFA,Inglaterra,4-2-3-1,Jordan Pickford,GK,Sweeper Keeper
UEFA,Inglaterra,4-2-3-1,Reece James,RB,Attacking Fullback
UEFA,Inglaterra,4-2-3-1,Marc Guehi,CB,Ball-Playing Defender
UEFA,Inglaterra,4-2-3-1,Ezri Konsa,CB,Central Defender
UEFA,Inglaterra,4-2-3-1,Nico O'Reilly,LB,Inverted Fullback
UEFA,Inglaterra,4-2-3-1,Declan Rice,CDM,Holding Midfielder
UEFA,Inglaterra,4-2-3-1,Elliot Anderson,CDM,Box-to-Box Midfielder
UEFA,Inglaterra,4-2-3-1,Bukayo Saka,RW,Inside Forward
UEFA,Inglaterra,4-2-3-1,Jude Bellingham,CAM,Advanced Playmaker
UEFA,Inglaterra,4-2-3-1,Eberechi Eze,LW,Wide Playmaker
UEFA,Inglaterra,4-2-3-1,Harry Kane,ST,Deep-Lying Forward
UEFA,Escócia,4-1-4-1,Craig Gordon,GK,Standard Goalkeeper
UEFA,Escócia,4-1-4-1,Aaron Hickey,RB,Attacking Fullback
UEFA,Escócia,4-1-4-1,Grant Hanley,CB,Central Defender
UEFA,Escócia,4-1-4-1,Scott McKenna,CB,Central Defender
UEFA,Escócia,4-1-4-1,Andy Robertson,LB,Complete Wing-Back
UEFA,Escócia,4-1-4-1,Lewis Ferguson,CDM,Deep-Lying Playmaker
UEFA,Escócia,4-1-4-1,Ben Gannon-Doak,RM,Traditional Winger
UEFA,Escócia,4-1-4-1,Ryan Christie,CM,Advanced Playmaker
UEFA,Escócia,4-1-4-1,Scott McTominay,CM,Box-to-Box Midfielder
UEFA,Escócia,4-1-4-1,John McGinn,LM,Wide Midfielder
UEFA,Escócia,4-1-4-1,Che Adams,ST,Pressing Forward
UEFA,Espanha,4-3-3,Unai Simon,GK,Sweeper Keeper
UEFA,Espanha,4-3-3,Marcos Llorente,RB,Inverted Fullback
UEFA,Espanha,4-3-3,Pau Cubarsí,CB,Ball-Playing Defender
UEFA,Espanha,4-3-3,Aymeric Laporte,CB,Central Defender
UEFA,Espanha,4-3-3,Marc Cucurella,LB,Attacking Fullback
UEFA,Espanha,4-3-3,Rodri,CDM,Deep-Lying Playmaker
UEFA,Espanha,4-3-3,Pedri,CM,Advanced Playmaker
UEFA,Espanha,4-3-3,Fabian Ruiz,CM,Mezzala
UEFA,Espanha,4-3-3,Lamine Yamal,RW,Inside Forward
UEFA,Espanha,4-3-3,Nico Williams,LW,Traditional Winger
UEFA,Espanha,4-3-3,Mikel Oyarzabal,ST,False 9
UEFA,Holanda,4-2-3-1,Bart Verbruggen,GK,Sweeper Keeper
UEFA,Holanda,4-2-3-1,Denzel Dumfries,RB,Wing-Back
UEFA,Holanda,4-2-3-1,Virgil van Dijk,CB,Central Defender
UEFA,Holanda,4-2-3-1,Nathan Aké,CB,Ball-Playing Defender
UEFA,Holanda,4-2-3-1,Micky van de Ven,LB,Defensive Fullback
UEFA,Holanda,4-2-3-1,Frenkie de Jong,CDM,Deep-Lying Playmaker
UEFA,Holanda,4-2-3-1,Ryan Gravenberch,CDM,Box-to-Box Midfielder
UEFA,Holanda,4-2-3-1,Tijjani Reijnders,CAM,Shadow Striker
UEFA,Holanda,4-2-3-1,Donyell Malen,RW,Inside Forward
